@ HyperIMU -ianovir - 2018
@ Date:Tue Dec 10 13:37:45 GMT+05:30 2019, Sampling Rate:100ms

ST_LIS3DHTR.x,ST_LIS3DHTR.y,ST_LIS3DHTR.z,GRAVITY.x,GRAVITY.y,GRAVITY.z,GPS.lat,GPS.long,GPS.alt,NMEA.a,NMEA.b,NMEA.c
0.0,0.0,0.0,0.0,0.0,0.0,28.718489999999996,77.13376666666666,68.9,$GNGGA.080720.628.2843.0821.N.07707.9790.E.0.0..133.3.M.-35.8.M..*7B,$GPGSA.A.1.............99.99.99.99.99.99*30,$GLGSA.A.1.............99.99.99.99.99.99*2C
-0.18,-0.055,9.785,-0.095733,-0.123626,9.805405,28.718461666666666,77.13374166666668,77.4,$BDGSA.A.1.............99.99.99.99.99.99*21,$GAGSA.A.1.............99.99.99.99.99.99*21,$GPGSV.4.1.14.31.64.029..22.50.316..14.47.040..26.40.145.*71
-0.102,-0.134,9.707,-0.095062,-0.121994,9.80542,28.718461666666666,77.13374166666668,77.4,$GPGSV.4.2.14.01.36.265..194.35.062..03.28.320..32.28.069.*4D,$GPGSV.4.3.14.193.22.114..16.19.169..10.15.136..11.13.253.*42,$GPGSV.4.4.14.25.12.045..23.09.286.*7D
-0.102,-0.055,9.785,-0.094146,-0.118927,9.805466,28.718461666666666,77.13374166666668,77.4,$GLGSV.3.1.9.73.72.065..71.55.025..70.32.097..72.25.327.*51,$GLGSV.3.2.9.74.13.200..80.13.029..87.08.297..86.07.243.*58,$GLGSV.3.3.9.75.02.202.*6C
-0.102,-0.134,9.707,-0.093475,-0.115631,9.805511,28.718461666666666,77.13374166666668,77.4,$BDGSV.4.1.13.23.67.056..09.55.034..02.55.166..05.50.215.*67,$BDGSV.4.2.13.07.49.105..10.46.149..03.40.127..16.40.062.*69,$BDGSV.4.3.13.06.37.066..20.24.317..25.17.041..01.15.104.*6A
-0.102,-0.055,9.785,-0.092758,-0.112548,9.805557,28.718461666666666,77.13374166666668,77.4,$BDGSV.4.4.13.13.12.181.*53,$GAGSV.1.1.0*58,$GNRMC.080720.628.V.2843.0821.N.07707.9790.E.0.000.0.00.101219...N*55
-0.102,-0.134,9.707,-0.092468,-0.112106,9.805573,28.718461666666666,77.13374166666668,77.4,$GNVTG.0.00.T..M.0.000.N.0.000.K.N*2C,$PMTKTSX1.13.-3976.263.0.373.36.335.5f880000.-0.397090.-0.397626.0.065794.-0.210381.1.460387.-0.398*2F,$PMTKGEPH.19.1.0.1.1.0.0.0.1.0.1.1.1.0.1.0.1.0.1.0.1.1.1.1.0.1.1.1.0.0.0.1.1*3D
-0.18,-0.134,9.785,-0.090057,-0.112197,9.805588,28.718461666666666,77.13374166666668,77.4,$PMTKGALM.31.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1*2A,$GNACCURACY.531.8*19,$PMTKAGC.080720.628.0.0.0.0.0.0.0*68
-0.102,-0.055,9.707,-0.085693,-0.109878,9.805649,28.718461666666666,77.13374166666668,77.4, , , 
-0.102,-0.134,9.707,-0.080856,-0.108459,9.80571,28.718461666666666,77.13374166666668,77.4, , , 
