@ HyperIMU -ianovir - 2018,,,,,,,,
@ Date:Sat Dec 14 23:41:03 GMT+05:30 2019, Sampling Rate:100ms,,,,,,,
,,,,,,,,
ST_LIS3DHTR.x,ST_LIS3DHTR.y,ST_LIS3DHTR.z,GRAVITY.x,GRAVITY.y,GRAVITY.z,GPS.lat,GPS.long,GPS.alt
0,0,0,0,0,0,28.71792167,77.13303667,197.8
-0.102,-0.055,9.885,-0.093765,-0.134002,9.805283,28.71792167,77.13303667,197.8
-0.102,-0.055,9.801,-0.106445,-0.123992,9.805283,28.71792167,77.13303667,197.8
-0.102,-0.055,9.885,-0.106765,-0.115692,9.805374,28.71792167,77.13303667,197.8
-0.18,-0.134,9.885,-0.101333,-0.104064,9.805573,28.71792167,77.13303667,197.8
-0.102,-0.055,9.702,-0.098754,-0.095352,9.805679,28.71792167,77.13303667,197.8
-0.102,-0.055,9.685,-0.099349,-0.08937,9.80574,28.71791667,77.13304,197.9
-0.102,-0.134,9.801,-0.096115,-0.088958,9.805771,28.71791667,77.13304,197.9
-0.102,-0.055,9.629,-0.097839,-0.091247,9.805725,28.71791667,77.13304,197.9
-0.102,-0.055,9.801,-0.101547,-0.092468,9.805679,28.71791667,77.13304,197.9
-0.102,-0.134,9.629,-0.105194,-0.093292,9.805634,28.71791667,77.13304,197.9
-0.102,-0.055,9.801,-0.104171,-0.098861,9.805588,28.71791667,77.13304,197.9
-0.18,-0.134,9.885,-0.105163,-0.098602,9.805588,28.71791667,77.13304,197.9
-0.102,-0.134,9.629,-0.111541,-0.09616,9.805542,28.71791667,77.13304,197.9
-0.18,-0.055,9.707,-0.112625,-0.096527,9.805527,28.71791667,77.13304,197.9
-0.102,-0.055,9.885,-0.118911,-0.099212,9.80542,28.71791333,77.13304333,197.9
-0.18,-0.055,9.707,-0.124557,-0.095642,9.805389,28.71791333,77.13304333,197.9
-0.18,-0.134,9.785,-0.126647,-0.088104,9.805435,28.71791333,77.13304333,197.9
-0.102,-0.134,9.785,-0.123031,-0.083923,9.805511,28.71791333,77.13304333,197.9
0.76,-0.134,9.629,-0.066085,-0.079269,9.806107,28.71791333,77.13304333,197.9
0.603,-0.369,9.864,0.170227,-0.076278,9.804871,28.71791333,77.13304333,197.9
-1.122,-0.134,9.885,0.360809,-0.081726,9.799667,28.71791333,77.13304333,197.9
0.289,-0.134,9.629,0.396194,-0.099105,9.808141,28.71791333,77.13304333,197.9
-0.73,-0.134,9.864,0.218505,-0.102478,9.803665,28.71791333,77.13304333,197.9
-1.593,0.022,9.885,-0.137374,-0.103347,9.805138,28.71791333,77.13304333,197.9
-1.828,-0.369,9.707,-0.612808,-0.102005,9.806942,28.717915,77.13304667,197.9
0.054,-0.134,9.864,-0.963928,-0.104034,9.758606,28.717915,77.13304667,197.9
1.702,0.179,9.805,-0.992538,-0.128204,9.755447,28.717915,77.13304667,197.9
1.78,0.101,9.885,-0.693176,-0.140731,9.781097,28.717915,77.13304667,197.9
-0.024,-0.055,9.801,-0.204895,-0.141967,9.803482,28.717915,77.13304667,197.9
1.623,0.101,9.801,0.168121,-0.139953,9.804199,28.717915,77.13304667,197.9
1.545,-0.212,9.801,0.574081,-0.104705,9.789261,28.717915,77.13304667,197.9
0.289,-0.134,9.629,0.884124,-0.074966,9.766418,28.717915,77.13304667,197.9
-1.671,-0.29,9.629,0.814636,-0.072982,9.772476,28.717915,77.13304667,197.9
-2.142,-0.055,9.864,0.289505,-0.087554,9.801971,28.717915,77.13304667,197.9
-1.043,-0.369,9.885,-0.09262,-0.120407,9.805466,28.71790833,77.13304833,198.1
-1.671,-0.134,9.885,-0.586441,-0.161178,9.787766,28.71790833,77.13304833,198.1
0.132,0.055,9.801,-0.970825,-0.17752,9.756851,28.71790833,77.13304833,198.1
1.152,0.055,9.629,-1.044708,-0.18608,9.749054,28.71790833,77.13304833,198.1
0.446,-0.045,9.801,-0.565673,-0.169799,9.788849,28.71790833,77.13304833,198.1
0.289,0.212,9.629,-0.132202,-0.155075,9.80452,28.71790833,77.13304833,198.1
2.015,0.022,9.629,0.223327,-0.130798,9.803223,28.71790833,77.13304833,198.1
0.603,-0.212,9.885,0.749832,-0.090271,9.777512,28.71790833,77.13304833,198.1
-2.22,-0.134,9.564,0.958496,-0.071502,9.75943,28.71790833,77.13304833,198.1
-1.75,-0.29,9.885,0.697341,-0.073898,9.78154,28.71790833,77.13304833,198.1
-0.024,-0.055,9.885,0.145599,-0.09346,9.805115,28.71790833,77.133045,198.2
-1.75,-0.29,9.864,-0.280853,-0.16156,9.801285,28.71790833,77.133045,198.2
-0.337,-0.134,9.942,-0.883026,-0.204544,9.764664,28.71790833,77.133045,198.2
0.839,0.022,9.629,-1.034194,-0.216583,9.749557,28.71790833,77.133045,198.2
1.466,-0.055,9.885,-0.623382,-0.201019,9.784744,28.71790833,77.133045,198.2
-0.024,-0.134,9.629,-0.146057,-0.168121,9.804108,28.71790833,77.133045,198.2
